Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.43597E-10,0.000000084,0.00000005,1,0,0
8.66148E-10,0.000003377,0.000000051,0.99610078,0,0
1.32497E-9,0.000014613,0.000000078,0.986802639,0,0
1.78359E-9,0.000025159,0.000000105,0.980003999,0,0
2.75564E-9,0.000050319,0.000000162,0.969006199,0,0
4.48889E-9,0.000100207,0.000000263,0.955208958,0,0
7.85256E-9,0.000251154,0.000000461,0.931613677,0,0
1.17928E-8,0.000500944,0.000000692,0.906818636,0,0
1.67624E-8,0.001001661,0.000000984,0.872125575,0,0
3.22818E-8,0.002500672,0.000001895,0.806738652,0,0
5.98031E-8,0.0050052,0.00000351,0.75124975,0,0
1.1004E-7,0.010008536,0.000006459,0.690061988,0,0
2.25766E-7,0.025003332,0.000013251,0.600379924,0,0
3.61354E-7,0.050012992,0.00002121,0.512897421,0,0
8.11665E-7,0.10004726,0.00004764,0.423615277,0,0
1.93573E-6,0.200050191,0.000113613,0.345630874,0,0
3.08335E-6,0.30028855,0.000180964,0.304739052,0,0
4.16355E-6,0.400359161,0.000244354,0.276944611,0,0
5.50495E-6,0.500014186,0.000323066,0.25624875,0,0
6.86196E-6,0.600388465,0.000402688,0.23985203,0,0
8.08189E-6,0.70002224,0.000474262,0.226354729,0,0
9.02061E-6,0.750204489,0.000529333,0.220455909,0,0
9.55139E-6,0.800431039,0.000560471,0.215056989,0,0
1.08447E-5,0.900718805,0.00063634,0.205158968,0,0
1.2363E-5,1.000149642,0.000725396,0.196560688,0,0
1.40876E-5,1.100422463,0.000826544,0.188962208,0,0
1.5321E-5,1.200463679,0.000898878,0.182163567,0,0
1.67066E-5,1.301541387,0.00098013,0.175864827,0,0
1.82121E-5,1.401410445,0.001068405,0.170165967,0,0
1.97347E-5,1.500199038,0.001157676,0.164967007,0,0
2.33291E-5,1.750498922,0.001368389,0.153269346,0,0
2.72865E-5,2.000265276,0.001600322,0.143371326,0,0
3.28701E-5,2.251708125,0.001927481,0.134973005,0,0
3.79524E-5,2.502305863,0.002225171,0.127874425,0,0
4.15191E-5,2.752964872,0.002434036,0.121575685,0,0
4.60592E-5,3.003007995,0.002699839,0.115876825,0,0
5.17161E-5,3.25142397,0.003030923,0.110777844,0,0
5.65363E-5,3.500365335,0.003312955,0.106178764,0,0
6.123E-5,3.752964179,0.0035875,0.101879624,0,0
6.85589E-5,4.000745273,0.004016042,0.098080384,0,0
7.46033E-5,4.251397916,0.004369337,0.094581084,0,0
7.93414E-5,4.505069145,0.004646193,0.091281744,0,0
8.43835E-5,4.750632603,0.004940721,0.088282344,0,0
8.8559E-5,5.000802138,0.005184568,0.085382923,0,0
9.41688E-5,5.257151506,0.005512083,0.082583483,0,0
9.94992E-5,5.500141151,0.005823179,0.080083983,0,0
1.04668E-4,5.756311413,0.006124775,0.077584483,0,0
1.1051E-4,6.003918333,0.006465509,0.075284943,0,0
1.14254E-4,6.251384265,0.006683802,0.073085383,0,0
1.18628E-4,6.507127269,0.006938814,0.070885823,0,0
1.27345E-4,6.751768709,0.007446787,0.068886223,0,0
1.33548E-4,7.011545382,0.00780806,0.066886623,0,0
1.39672E-4,7.257304193,0.008164659,0.065086983,0,0
1.43958E-4,7.512924679,0.008414147,0.063287343,0,0
1.47157E-4,7.760545787,0.008600322,0.061587682,0,0
1.52548E-4,8.000297165,0.00891401,0.059988002,0,0
1.59998E-4,8.264738138,0.009347286,0.058288342,0,0
1.67005E-4,8.510389476,0.009754612,0.056788642,0,0
1.73356E-4,8.765754492,0.010123703,0.055288942,0,0
1.83297E-4,9.016384535,0.010701107,0.053889222,0,0
1.90197E-4,9.260183572,0.011101717,0.052589482,0,0
1.98772E-4,9.513519934,0.011599336,0.051289742,0,0
2.05467E-4,9.757593741,0.011987669,0.050089982,0,0
2.11366E-4,10.007698712,0.012329706,0.048890222,0,0
2.23153E-4,10.266893065,0.013012778,0.047690462,0,0
2.29182E-4,10.51551955,0.013362004,0.046590682,0,0
2.37513E-4,10.771021383,0.013844338,0.045490902,0,0
2.42816E-4,11.011425253,0.014151207,0.044491102,0,0
2.48486E-4,11.257099472,0.014479273,0.043491302,0,0
2.53079E-4,11.507665605,0.014744902,0.042491502,0,0
2.6397E-4,11.766351792,0.015374578,0.041491702,0,0
2.73874E-4,12.009649574,0.015946788,0.040591882,0,0
2.79928E-4,12.259541294,0.01629637,0.039692062,0,0
2.86947E-4,12.514071352,0.016701556,0.038792242,0,0
2.94377E-4,12.777121255,0.017130333,0.037892422,0,0
3.03276E-4,13.016566276,0.017643543,0.037092581,0,0
3.14833E-4,13.265158135,0.018309738,0.036292741,0,0
3.30352E-4,13.523829089,0.019203533,0.035492901,0,0
3.37226E-4,13.757543176,0.019599169,0.034793041,0,0
3.51152E-4,14.034139375,0.020400215,0.033993201,0,0
3.62512E-4,14.284124339,0.021053198,0.033293341,0,0
3.80267E-4,14.509601814,0.022072901,0.032693461,0,0
3.95364E-4,14.782661749,0.022939048,0.031993601,0,0
4.10398E-4,15.024747751,0.023800899,0.031393721,0,0
4.21381E-4,15.274818451,0.02442997,0.030793841,0,0
4.27243E-4,15.529684838,0.024765589,0.030193961,0,0
4.29427E-4,15.786799141,0.02489061,0.029594081,0,0
4.34804E-4,16.002724011,0.025198347,0.029094181,0,0
4.48493E-4,16.267648909,0.025981252,0.028494301,0,0
4.5481E-4,16.5398548,0.026342317,0.027894421,0,0
4.6258E-4,16.770412276,0.026786257,0.027394521,0,0
4.73181E-4,17.004310654,0.027391691,0.026894621,0,0
4.89138E-4,17.294549302,0.028302185,0.026294741,0,0
4.96159E-4,17.541427314,0.028702556,0.025794841,0,0
5.13404E-4,17.794154866,0.029685198,0.025294941,0,0
5.24031E-4,18.003348975,0.030290265,0.024895021,0,0
5.33356E-4,18.268235574,0.030820874,0.024395121,0,0
5.43018E-4,18.537866422,0.031370387,0.023895221,0,0
5.53948E-4,18.757803605,0.031991585,0.023495301,0,0
5.67877E-4,19.038877172,0.032782696,0.022995401,0,0
5.79915E-4,19.268652816,0.033465853,0.022595481,0,0
5.87329E-4,19.50230048,0.0338864,0.022195561,0,0
6.0113E-4,19.799119206,0.034668651,0.021695661,0,0
6.12886E-4,20.041961772,0.035334529,0.021295741,0,0
6.17408E-4,20.288191882,0.035590586,0.020895821,0,0
6.18832E-4,20.535493242,0.03567115,0.020495901,0,0
6.30035E-4,20.786402561,0.036305086,0.020095981,0,0
6.43037E-4,21.040737885,0.037040233,0.019696061,0,0
6.49397E-4,21.299859084,0.037399658,0.019296141,0,0
6.63633E-4,21.564482351,0.038203664,0.018896221,0,0
6.79104E-4,21.765772779,0.039076667,0.018596281,0,0
6.98356E-4,22.044084931,0.040161919,0.018196361,0,0
7.05387E-4,22.255523336,0.040557969,0.017896421,0,0
7.16906E-4,22.541118162,0.041206441,0.017496501,0,0
7.30302E-4,22.758732359,0.041960006,0.017196561,0,0
7.46026E-4,23.055862959,0.04284385,0.016796641,0,0
7.49019E-4,23.280238877,0.043011937,0.016496701,0,0
7.77567E-4,23.510414867,0.04461422,0.016196761,0,0
7.82988E-4,23.822661652,0.044918147,0.015796841,0,0
7.92479E-4,24.059351148,0.045450074,0.015496901,0,0
7.97033E-4,24.297968656,0.045705158,0.015196961,0,0
8.14987E-4,24.539785437,0.046710307,0.014897021,0,0
8.26989E-4,24.786576171,0.047381643,0.014597081,0,0
8.3722E-4,25.037382176,0.047953495,0.014297141,0,0
8.47454E-4,25.290222695,0.048525243,0.013997201,0,0
8.62949E-4,25.546461891,0.049390196,0.013697261,0,0
8.80455E-4,25.80863442,0.050366504,0.013397321,0,0
9.00484E-4,26.077563854,0.051482232,0.013097381,0,0
9.1137E-4,26.258942422,0.052088108,0.012897421,0,0
9.1595E-4,26.532934701,0.05234288,0.012597481,0,0
9.41992E-4,26.81221358,0.053790331,0.01229754,0,0
9.46695E-4,27.001322464,0.054051521,0.01209758,0,0
9.72467E-4,27.290970675,0.055481394,0.01179764,0,0
9.862E-4,27.586259255,0.056242426,0.0114977,0,0
9.88991E-4,27.784000655,0.056397024,0.01129774,0,0
1.00089E-3,28.08298358,0.057055786,0.0109978,0,0
1.00998E-3,28.284438004,0.057559004,0.01079784,0,0
1.01953E-3,28.589251962,0.058086833,0.0104979,0,0
